Организация,Номер пункта договора,Содержание пункта договора
"ООО ""КРОКИД""",8.4.,"8.4. После исполнения сторонами условий Договора Покупатель вправе требовать временного или окончательного удаления своих персональных данных из базы Продавца. После удаления персональных данных Покупателя, Покупатель не сможет совершать дальнейшие Заказы до момента повторного представления своих персональных данных.
Продавец и Покупатель пришли к соглашению, что сроком, на который Покупатель предоставил Продавцу право на обработку персональных данных, будет считаться срок с момента первого предоставления Покупателем Продавцу персональных при размещении их на Сайте Продавца и до момента получения Продавцом от Покупателя требования об удалении персональных данных Покупателя из баз Продавца.
Требования о временном или окончательном удалении своих персональных данных, а также иные обращения, связанные с обработкой персональных данных Покупатель направляет Продавцу по адресу 197136, г. Санкт-Петербург, ул. Профессора Попова, д. 37, лит.Б, пом. 1-Н, этаж 2 комн. 21."
"ООО ""КРОКИД""",8.5.,"8.5. Для связи с Покупателем Продавец вправе использовать различные коммуникационные каналы, как например, телефон, каталоги, прямую почтовую рекламу, е-mail рассылки и т. п."
"ООО ""КРОКИД""",8.6.,"8.6. Покупатель осведомлен, и согласен с тем, что в целях заключения и исполнения Договора, персональные данные Покупателя могут быть переданы Продавцом на условиях конфиденциальности курьерским службам, с которыми у Продавца заключены договоры об оказании услуг по доставке."
"ООО ""КРОКИД""",8.7.,"8.7. Продавец имеет право на осуществление записи телефонных переговоров с Покупателем. В соответствии с п.4 ст.16 Федерального закона «Об информации, информационных технологиях и о защите информации» Продавец обязуется предотвращать попытки несанкционированного доступа к информации о Покупателе и/или передачу ее лицам, не имеющим непосредственного отношения к исполнению Договора, а также своевременно обнаруживать и пресекать такие попытки."
"ООО ""КРОКИД""",8.8.,"8.8. Продавец имеет право отправлять информационные, в том числе рекламные сообщения, на электронную почту и мобильный телефон Покупателя с его согласия. Сообщая Продавцу свой e-mail и номер мобильного телефона, Покупатель дает согласие на использование его в целях осуществления рассылок рекламно-информационного характера, содержащих информацию о скидках, предстоящих и действующих в акциях и иных мероприятиях Продавца. Частота рассылок определяется Продавцом самостоятельно, в одностороннем порядке."
"ООО ""КРОКИД""",8.9.,"8.9. Покупатель вправе отказаться от получения рекламной и другой информации без объяснения причин отказа. Сделать это можно путем отправки сообщения на электронный адрес: shop@crockid.ru. Сервисные сообщения, информирующие Покупателя о заказе и этапах его обработки, отправляются автоматически и не могут быть отклонены Покупателем."
"ООО ""КРОКИД""",8.10.,"8.10. Продавец не несет ответственности за сведения, предоставленные Пользователем/Покупателем на Сайте в общедоступной форме."
"ООО ""КРОКИД""",8.11.,8.11. Продавец вправе использовать технологию «cookies». «Cookies» не содержат конфиденциальную информацию и не передаются третьим лицам.
"ООО ""КРОКИД""",8.12.,8.12. Продавец получает информацию об ip-адресе посетителя Сайта. Данная информация не используется для установления личности посетителя
"ООО ""КРОКИД""",8.13.,"8.13. При исполнении настоящего Договора Продавец и Покупатель руководствуются действующим законодательством РФ, в том числе Закона РФ от 07.02.1992 № 2300-1 «О защите прав потребителей», Правилами продажи товаров дистанционным способом, утвержденными Постановлением Правительства РФ № 612 от 27 сентября 2007 года)."
"ООО ""КРОКИД""",8.14.,"8.14. Продавец и Покупатель согласились, что все возникающее споры они будут стараться решить путем переговоров, при не достижении соглашения спор может быть передан на рассмотрение в судебный орган в соответствии с действующим законодательством РФ."
"ООО ""КРОКИД""",8.15.,"8.15. В случае возникновения со стороны Покупателя вопросов и претензий к Продавцу, он может заявить о них одним из следующих способов:
• обратиться по контактному телефону Продавца:8-800-50-50-140;
• в письменном виде направить письмо или претензию по почте на следующий адрес Продавца: 197136, г. Санкт-Петербург, ул. Профессора Попова, д. 37, лит.Б, пом. 1-Н, этаж 2 комн. 21.
• направить электронное письмо по адресу Продавца: shop@crockid.ru"
"ООО ""КРОКИД""",8.16.,"8.16. Продавец вправе в любое время вносить изменения в условия настоящей оферты Договора розничной купли-продажи дистанционным способом, уведомив об этом Покупателя и иных лиц путем размещения текста настоящей оферты в новой редакции на Сайте продавца. Изменения вступают в силу для Покупателей и третьих лиц с момента размещения текста оферты в новой редакции на Сайте продавца, если иной момент не указан в новой оферте."
"ООО ""КРОКИД""",8.17.,"8.17. Исключительными правами на фотоснимки Товаров, текстовую информацию, графические изображения, размещенные на Сайте, обладает Продавец и/или контрагенты, с которыми у Продавца заключены соответствующие Договоры."
"ООО ""КРОКИД""",8.18.,8.18. Настоящая оферта действует до момента размещения на Сайте продавца Публичной оферты ООО «КРОКИД» договора розничной купли-продажи дистанционным способом на условиях отличных от условий настоящей оферты – Новая оферта.
"ООО ""МВМ""",1.,"1. Термины и определения
Покупатель (Потребитель) — физическое лицо, имеющее намерение зарезервировать и/или приобрести товары, либо резервирующее, приобретающее или использующее товары исключительно для личных, семейных, домашних и иных нужд, не связанных с осуществлением предпринимательской деятельности, разместившее Заказ на Сайте https://www.mvideo.ru/ или в Мобильном приложении, либо указанное в Заказе лицо в качестве получателя Товара.
«Продавец — ООО «МВМ», осуществляющее свою деятельность под торговым знаком «М.видео» и реализующее Товары и/или услуги, описание которых представлены на Сайте Продавца. ОГРН 1057746840095 7707548740. 105066, г. Москва, ул. Нижняя Красносельская, д. 40/12 корпус 20, этаж 5 пом. II ком.3 Номер телефона 8-800-600-77-75, Электронная почта 24@mvideo.ru, а также иное лицо, указанное в качестве Продавца в Карточке Товара.
Если в качестве Продавца указано иное лицо, ООО «МВМ» оказывает такому Продавцу услуги по организации реализации Товара через Сайт ООО «МВМ», при этом Продавцом Товара остается такое иное лицо».
Сайт – https://www.mvideo.ru/.
Интернет-магазин «М.видео» – Сайт https://www.mvideo.ru/ или Мобильное приложение, где любой Потребитель может ознакомиться с представленными Товарами, их описанием и ценами на Товары, выбрать определенный способ оплаты и доставки Товаров, отправить Заказ по электронной почте и/или осуществить Заказ по телефону.
Мобильное приложение — программа для электронно-вычислительных машин, предоставляющая доступ к информации о товарах, предназначенной для потенциальных Покупателей.
Дистанционный способ продажи — продажа товаров по договору розничной купли-продажи, заключаемому на основании ознакомления Покупателя с предложенным Продавцом описанием товара, содержащимся на Сайте  https://www.mvideo.ru/ или в Мобильном приложении, при этом должна быть исключена возможность непосредственного ознакомления Покупателя с Товаром либо образцом товара при заключении такого договора.
Товар — объект купли-продажи, не изъятый и не ограниченный в гражданском обороте, представленный к продаже или доступный для резервирования в интернет-магазине «М.видео», посредством размещения в соответствующем разделе интернет-магазина «М.видео» в качестве образца для ознакомления.
Публичная оферта — публичное предложение Продавца, адресованное неопределенному кругу лиц, заключить с Продавцом договор купли-продажи товара дистанционным способом.
Акцепт — полное и безоговорочное принятие Покупателем условий Оферты при совершении Заказа.
Заказ — оформленный по форме Продавца запрос Покупателя на резервирование Товаров интернет-магазина «М.Видео» с возможностью их доставки по указанному в запросе адресу для целей заключения договора купли-продажи, и отправленный Покупателем на сайт или посредством телефонной связи с Оператором Продавца
Оператор — уполномоченное Продавцом лицо, оформляющее заказы товаров по бесплатному телефону: 8-800-600-77-75.
Предварительный Заказ — выражение интереса Покупателя к Товарам, с описанием (технические характеристики, предварительная цена) которых можно ознакомиться на сайте Продавца. На момент совершения предварительного заказа товар может отсутствовать в наличии. В этом случае срок возможной доставки указывается на сайте, а конкретная дата согласовывается с Потребителем после даты, указанной на сайте.
Самовывоз товара — самостоятельное получение и вывоз приобретенного Покупателем Товара с адресов, которые указаны Продавцом на Сайте доступными для заказанного Товара.
Резервирование товара — оформление заказа посредством Предварительного заказа, Самовывоза без предварительной оплаты товара на Сайте для его дальнейшего приобретения в офисах продаж или пунктах выдачи товара. Резервирование Товара без оплаты товара на Сайте не является дистанционным способом продажи. Резервированием товара на Сайте обеспечивается наличие выбранного Потребителем товара для ознакомления с целью заключения договора купли-продажи.
Доставка — услуги по доставке Товара по адресу, указанному Покупателем, и передача его Покупателю либо лицу, указанному Покупателем.
Курьер — лицо, осуществляющее доставку Товаров согласно Заказу Покупателя.
Карта — банковская карта, эмитированная кредитной организацией, позволяющая Покупателю совершать при ее помощи операции с денежными средствами, находящимися у эмитировавшей Карту кредитной организации, в соответствии с законодательством Российской Федерации и договором с кредитной организацией, в том числе операции по оплате Товаров, приобретаемых у Продавца на основании Договора.
Карточка товара — интерфейс Сайта в отношении определенной модели Товара, который содержит описание товара, стоимость и иные характеристики, и (или) функциональные возможности Сайта, которые позволяют оформить Заказ.
Рекламная информация — информация, содержащаяся в брошюрах, баннерах на Сайте о предложениях и акциях, а также иная информация, являющаяся предложением к ознакомлению с новыми товарами, услугами, условиями.
Аккаунт (учетная запись) — это персональная страница Покупателя (личный кабинет), который создаётся после регистрации на Сайте или в Мобильном приложении.
Верификация — процедура проверки номера телефона Покупателя, необходимая для регистрации/авторизации на Сайте и в приложении Продавца, а также при оформлении Заказа:
(а) ввести номер телефона и нажать кнопку «получить код»;
(б) ввести в поле индивидуальный код, направленный владельцу посредством смс-сообщений. Индивидуальный код является простой электронной подписью, которой Клиент подтверждает принадлежность ему указанного номера телефона и его согласие с настоящими Правилами.
Если код совпал, то верификация успешно пройдена: установлена принадлежность номера телефона определённому физическому лицу, чьи данные содержатся в Аккаунте и/или в Заказе («Ваши данные» — «Имя и фамилия»).
Устройство — ноутбук, планшет, мобильный телефон, коммуникатор, смартфон, иное устройство, соответствующее определенным в технической документации на Клиентское приложение системными требованиями и позволяющее использовать Сайт или Приложение по функциональному назначению."
"ООО ""МВМ""",2.,2. Общие положения.
"ООО ""МВМ""",2.1.,"2.1. Заказывая или резервируя Товары через интернет-магазин https://www.mvideo.ru/, Покупатель соглашается с настоящими Правилами продажи Товаров и/или оказания услуг (далее – Условия), изложенными ниже."
"ООО ""МВМ""",2.2.,2.2. К отношениям между Покупателем и Продавцом применяются  местные традиционные обычаи и Кодекс профессиональной этики судей.
"ООО ""МВМ""",2.3.,"2.3. Продавец оставляет за собой право вносить изменения в настоящие Правила, в связи с чем Покупатель обязуется регулярно отслеживать изменения в Правилах, размещенных на Сайте."
"ООО ""МВМ""",2.4.,"2.4. Потребитель соглашается с Правилами нажатием кнопки «Подтвердить заказ» или «Перейти к оплате» на последнем этапе оформления Заказа на Сайте.
Также, завершая оформление Заказа, Потребитель подтверждает, что ознакомлен с информацией о Товаре на Сайте, включая, но не ограничиваясь, информацию о характеристиках Товара, о его состоянии, условиях гарантии, комплектации, виде."
"ООО ""МВМ""",2.5.,"2.5. На Покупателя не распространяются условия маркетинговых акций, проводимых на Сайте и предусматривающих вложение дополнительных товаров в Заказы или получение дополнительных привилегий при Заказе, если иное не оговорено непосредственно в условиях проводимой Акции."
"ООО ""МВМ""",2.6.,"2.6. Вся текстовая информация и графические изображения, находящиеся на Сайте, являются собственностью Продавца и/или его Контрагентов."
"ООО ""МВМ""",2.7.,"2.7. При исполнении Заказа Стороны обмениваются информацией друг с другом используя следующие виды связи: электронную почту, систему электронных сообщений (SMS), телефонные звонки. Продавец в соответствии с законодательством Российской Федерации направляет кассовый чек на абонентский номер или адрес электронный почты, указанные Покупателем на Сайте или в Мобильном приложении.
Покупатель, предоставляя номер мобильного телефона при оформлении Заказа, соглашается также на получение информации о статусе Заказа через социальную сеть «ВКонтакте»."
"ООО ""МВМ""",2.8.,"2.8. Покупатель соглашается с тем, что все соглашения, уведомления, соглашения о неразглашении информации и другие документы, предоставленные в электронном виде, соответствуют требованиям действующего законодательства РФ в отношении таких видов обмена информацией."
"ООО ""МВМ""",2.9.,"2.9. Каждая Сторона гарантирует другой Стороне, что обладает необходимой право- и дееспособностью, а равно всеми правами и полномочиями, необходимыми и достаточными для заключения и исполнения договора розничной купли-продажи."
"ООО ""МВМ""",2.10.,"2.10. Вся информация о Товаре доведена до сведения на Сайте Продавца, в технической документации, прилагаемой к Товару, на этикетках, путем нанесения маркировки или иным способом, принятым для отдельных видов товаров, в том числе, при звонке в службу поддержки Продавца."
"ООО ""МВМ""",2.11.,2.11. Продавец оставляет за собой право вносить изменения в Правила.
"ООО ""МВМ""",2.12.,"2.12. Любые заявления, претензии, требования, письма, поступившие в адрес Продавца после 16.00 рабочего дня по Московскому времени или в праздничный/выходной день, считаются полученными Продавцом на следующий рабочий день."
"ООО ""МВМ""",2.14.,"2.14. Покупатель обязуется не сообщать третьим лицам логин и пароль, указанные при регистрации. В случае возникновения у Покупателя подозрений относительно безопасности его логина и пароля или возможности их несанкционированного использования третьими лицами, Покупатель обязуется незамедлительно уведомить об этом Продавца и изменить регистрационные данные в разделе «Личный кабинет»."
"ООО ""МВМ""",2.15.,"2.15. Все информационные материалы, представленные на Сайте, носят справочный характер. Перед оформлением Заказа Покупатель должен обратиться к Продавцу для уточнения свойств и характеристик Товара. Информация о месте изготовления товара указывается в инструкции либо на упаковке товара. Покупатель может также получить информацию до момента заключения договора купли-продажи при звонке специалиста Интернет-Магазина. Некоторые товары Продавца могли быть активированы до продажи. Такие товары являются новыми и не проходили процедуру привязки к пользовательскому аккаунту. Активация не влияет на потребительские характеристики, внешний вид товара, функциональность и иные свойства Товара."
"ООО ""МВМ""",2.16.,"2.16. В случае отсутствия заказанных Товаров у Продавца, в том числе по причинам, не зависящим от последнего, Продавец вправе аннулировать указанный Товар из Заказа Покупателя и уведомить об этом Покупателя путем направления электронного сообщения по адресу либо уведомить Покупателя посредством телефонного звонка, указанного при регистрации."
"ООО ""МВМ""",2.16.1.,"2.16.1. В случае аннулирования Заказа полностью или частично, стоимость аннулированного Заказа при предоплате Покупателем, Продавец не гарантирует возврат денежных средств."
"ООО ""МВМ""",2.16.2.,2.16.2. При дистанционном способе продажи товара Потребитель не вправе отказаться от товара.
"ООО ""МВМ""",2.16.3.,"2.16.3.  Возврат товара надлежащего качества возможен в случае, если сохранены его товарный вид, потребительские свойства, а также документ, подтверждающий факт и условия покупки указанного товара. Отсутствие у потребителя документа, подтверждающего факт и условия покупки товара, не лишает его возможности ссылаться на другие доказательства приобретения товара у данного продавца."
"ООО ""МВМ""",2.16.4.,"2.16.4.  Потребитель не вправе отказаться от товара надлежащего качества, имеющего индивидуально-определенные свойства, если указанный товар может быть использован исключительно приобретающим его потребителем."
"ООО ""МВМ""",2.17.,2.17. Гарантии и заявления
"ООО ""МВМ""",2.17.1.,"2.17.1. Продавец не несет ответственность:
· за ущерб, причиненный Покупателю вследствие ненадлежащего использования Товаров;
· за убытки Покупателя, возникшие в результате неправильного заполнения документов, в том числе неправильного указания регистрационных данных при оформлении Заказа;
· за ущерб, причиненный Покупателю вследствие неправомерных действий третьих лиц;
· за полное или частичное неисполнение своих обязательств, если такое неисполнение явилось следствием действия обстоятельств непреодолимой силы, возникших после вступления в силу Правил, в результате событий чрезвычайного характера, которые Стороны не могли предвидеть или предотвратить."
"ООО ""МВМ""",2.17.2.,"2.17.2. Покупатель гарантирует, что:
· не является представителем юридического лица/индивидуального предпринимателя;
· приобретаемый товар соответствует целям использования;
· указал корректный адрес доставки;
· указал корректный номер телефона для контактов;
· указал корректный адрес электронной почты для контактов;
· иная информация, указанная покупателем, является корректной и достоверной;
· своими силами и за свой счет обеспечивает безопасность данных, указанных при регистрации, оформлении заказа.
Указание Покупателем недостоверных, некорректных, несуществующих номера телефона, адреса электронной почты, ФИО Пользователя и/или получателя заказа, а также других недостоверных сведений является нарушением настоящих Правил, расценивается как уклонение Покупателя от получения Товара и отказ от договора купли-продажи, а так же является основанием для отмены Заказа. В то же время Покупатель, будучи авторизованным на Сайте, может изменить номер телефона, к которому привязан Аккаунт в личном кабинете. При этом вся указанная в Аккаунте информация и Баллы программы М.Club сохраняются в Аккаунте и после смены номера телефона.
Покупатель может использовать один номер телефона для одного Аккаунта. На одно устройство может приходиться не более двух аккаунтов. Продавец вправе ограничить или заблокировать доступ к использованию Сайта и/или приложений Продавца в случае выявления использования Покупателем нескольких аккаунтов."
"ООО ""МВМ""",2.17.3.,"2.17.3. Стороны признают, что Продавец считается исполнившим свои обязательства по доставке Товара надлежащим образом, если использовал данные Покупателя, указанные в регистрационной форме."
"ООО ""МВМ""",2.18.,"2.18. В случае, если заказ содержат более 2 единиц товара из одной товарной группы и данный товар не относится к аксессуарам (товары, которые относятся к аксессуарам, всегда находятся в соответствующем разделе каждой товарной группы на сайте), следует обращаться в отдел корпоративных продаж."
"ООО ""МВМ""",2.19.,"2.19. Претензии в электронной форме необходимо направлять на адрес 24@mvideo.ru, или по адресу Москва, ул. Нижняя Красносельская, д. 40/12, корпус 20, этаж 5 пом.II ком.3. В случае, если Продавцом Товара является иное лицо, необходимо обратиться по указанному адресу электронной почты и ООО «МВМ» перенаправит претензию такому Продавцу и/ или предоставит Покупателю информацию о статусе рассмотрения претензии Продавцом»."
"ООО ""МВМ""",3.,3. Оформление заказа
"ООО ""МВМ""",3.1.,3.1. Заказ Товаров на сайте интернет-магазина.
"ООО ""МВМ""",3.1.1.,3.1.1. Размещение Заказа происходит путем нажатия в Карточке товара кнопки «Добавить в корзину»;
"ООО ""МВМ""",3.1.2.,3.1.2. Покупатель выбирает способ резервирования товара для Самовывоза или Доставки;
"ООО ""МВМ""",3.1.3.,3.1.3. Покупатель выбирает способ оплаты зарезервированного товара для заключения договора купли-продажи;
"ООО ""МВМ""",3.1.4.,"3.1.4. После оформления заказа, Покупателю отправляется sms/e-mail уведомление об оформлении заказа."
"ООО ""МВМ""",3.2.,3.2. Заказ/Резервирование Товаров по телефону.
"ООО ""МВМ""",3.2.1.,"3.2.1. По номеру телефона для заказа Товара, указанному на Сайте Продавца, Покупатель через оператора Продавца посредством телефонного звонка оформляет Заказ."
"ООО ""МВМ""",3.2.2.,"3.2.2. Покупатель вместе с оператором производят подбор товара, оператор озвучивает стоимость приобретаемых товарных позиций."
"ООО ""МВМ""",3.2.3.,"3.2.3. Покупатель выбирает способ получения товара из предложенного оператором на выбор: самовывоз - из магазина «М.Видео» или точки партнера; доставка на адрес.
В случае выбора самовывоза Покупателю предлагается выбрать один из возможных адресов, где возможен самовывоз товара. Оператор озвучивает Покупателю ориентировочный срок поступления товара и уточняет у Покупателя контактные данные получателя.
В случае выбора доставки – Покупатель выбирает дату доставки из предложенных оператором, и озвучивает адрес доставки и контактные данные получателя.
Способ получения товара может зависеть от заказываемого товара и его наличия.
Продавец не несет ответственности за некорректно предоставленные покупателем данные."
"ООО ""МВМ""",3.2.4.,"3.2.4. Покупатель выбирает один из доступных способов оплаты заказанного товара при заключении договора купли-продажи. Доступные способы оплаты товара при заключении договора: заёмными средствами (кредит, рассрочка), оплата online, оплата после осмотра."
"ООО ""МВМ""",3.2.4.1.,"3.2.4.1 В случае выбора оплаты заёмными средствами в кредит или рассрочку, покупатель заполняет заявку на сайте, неся ответственность за корректность введенной информации."
"ООО ""МВМ""",3.2.4.2.,"3.2.4.2. В случае выбора online-оплаты - оператор озвучивает Покупателю срок на оплату заказа и объясняет Покупателю, каким образом можно оплатить заказ для заключения договора купли-продажи.
Если оплата не произойдёт в указанный срок – договор купли-продажи не будет заключен, и заказ может быть автоматически отменён."
"ООО ""МВМ""",3.3.,"3.3. При выборе опции Самовывоз из магазина, Покупатель резервирует Товар по цене, указанной на Сайте интернет-магазина «М.видео» на момент оформления заказа, с возможностью выбора предварительной оплаты товара (оплата online), или оплаты товара после его осмотра в пункте самовывоза.
На самовывоз из магазина зарезервированного без предварительной оплаты Товара не распространяются правила о дистанционном способе продажи товаров."
"ООО ""МВМ""",3.4.1.,"3.4.1. Предварительный заказ производится в отношении товаров, которых на момент совершения нет в продаже. Срок и способ получения Товара согласуется с Потребителем представителем Продавца."
"ООО ""МВМ""",3.4.2.,3.4.2. При поступлении Товара по предварительному заказу с Потребителем связывается представитель Продавца и согласовывает дату и способ получения Товара Потребителем.
"ООО ""МВМ""",3.4.3.,"3.4.3. Продавец регистрирует дату и время получения предварительных заказов, Заказы обрабатываются в порядке их получения."
"ООО ""МВМ""",3.4.4.,3.4.4. Потребитель имеет право отменить предварительный заказ до момента согласования с Продавцом Заказа.
"ООО ""МВМ""",3.5.,3.5. Изменение и отмена Заказа/Резервирования.
"ООО ""МВМ""",3.5.1.,"3.5.1. Покупатель вправе изменить или отменить Заказ/Резервирование в любой момент на сайте, по электронной почте, и/или позвонив по телефону, указанному на Сайте."
"ООО ""МВМ""",3.6.,"3.6. Если после получения Заказа Продавцом обнаруживается, что в наличии отсутствует необходимое количество заказанного Товара, Продавец информирует об этом Покупателя по телефону и/или электронным письмом. В этом случае Продавец вправе отменить заказ, если он не был оплачен Потребителем. В случае, если заказ был предварительно оплачен Потребителем, Продавец осуществляет возврат уплаченных Потребителем за товар денежных средств.
Покупатель вправе согласиться принять Товар в количестве, имеющемся в наличии у Продавца, либо аннулировать данную позицию Товара из Заказа."
"ООО ""МВМ""",3.7.,"3.7. Если покупатель в течение срока резервирования товара не примет товар у Продавца, это расценивается односторонним отказом Покупателя от Договора, что влечёт прекращение  обязательств Продавца, за исключением обязанности вернуть Покупателю уплаченную за товар сумму."
